split,budget,m,J_synthetic_final,J_projected_uniform,absolute_projection_change,relative_projection_change,synthetic_sweeps,synthetic_stop_reason,SYNTHETIC_CAP_BINDING
6,0.2,24,0.0005072262296504105,0.004266230326815865,0.0037590040971654548,7.410902428599224,14.0,three_consecutive_relative_objective_improvements_below_1e-3,False
6,0.3,36,0.00022024590601643588,0.002373210756635085,0.002152964850618649,9.775277504853978,14.0,three_consecutive_relative_objective_improvements_below_1e-3,False
6,0.4,48,0.00010868739746979216,0.001596679211609577,0.0014879918141397848,13.690564396422753,14.0,three_consecutive_relative_objective_improvements_below_1e-3,False
6,0.5,60,5.483468789296642e-05,0.0009011307482114402,0.0008462960603184737,15.4335894456149,14.0,three_consecutive_relative_objective_improvements_below_1e-3,False
8,0.2,24,0.0007638208039326195,0.0013530457203002517,0.0005892249163676322,0.7714177374247203,9.0,three_consecutive_relative_objective_improvements_below_1e-3,False
8,0.3,36,0.00036741176660045374,0.000789043456067696,0.00042163168946724225,1.1475726359241798,8.0,three_consecutive_relative_objective_improvements_below_1e-3,False
8,0.4,48,0.00018305226960474224,0.0006234036105766114,0.0004403513409718692,2.4056043769503814,9.0,three_consecutive_relative_objective_improvements_below_1e-3,False
8,0.5,60,9.756268801502796e-05,0.0002982468381147456,0.0002006841500997176,2.0569764341548837,8.0,three_consecutive_relative_objective_improvements_below_1e-3,False
9,0.2,24,0.0009747637956868089,0.0044880982278813686,0.0035133344321945596,3.604293109510801,11.0,three_consecutive_relative_objective_improvements_below_1e-3,False
9,0.3,36,0.00043181104281987817,0.0025747624827359484,0.0021429514399160703,4.962706432706868,11.0,three_consecutive_relative_objective_improvements_below_1e-3,False
9,0.4,48,0.0002166185886623287,0.0013763068501388863,0.0011596882614765575,5.3535953153323925,11.0,three_consecutive_relative_objective_improvements_below_1e-3,False
9,0.5,60,0.00010827982681462763,0.0009495290809470242,0.0008412492541323966,7.769214994890918,12.0,three_consecutive_relative_objective_improvements_below_1e-3,False
10,0.2,24,0.0005574333224895603,0.004887656891171306,0.004330223568681745,7.768146240957531,12.0,three_consecutive_relative_objective_improvements_below_1e-3,False
10,0.3,36,0.00023940021315833643,0.002877225182048781,0.002637824968890445,11.018473768633694,12.0,three_consecutive_relative_objective_improvements_below_1e-3,False
10,0.4,48,0.00012029371798321358,0.0022844264856904492,0.0021641327677072355,17.990405517345717,12.0,three_consecutive_relative_objective_improvements_below_1e-3,False
10,0.5,60,6.074024612484123e-05,0.0009593980589104342,0.000898657812785593,14.795096663562328,12.0,three_consecutive_relative_objective_improvements_below_1e-3,False
11,0.2,24,0.0004922147361325427,0.0041817438529281855,0.003689529116795643,7.495771349279827,14.0,three_consecutive_relative_objective_improvements_below_1e-3,False
11,0.3,36,0.00021561520808944387,0.002147867774350205,0.0019322525662607611,8.961578282823181,14.0,three_consecutive_relative_objective_improvements_below_1e-3,False
11,0.4,48,0.00010749438677216811,0.001294541557577684,0.0011870471708055159,11.042875878918544,14.0,three_consecutive_relative_objective_improvements_below_1e-3,False
11,0.5,60,5.433865425225041e-05,0.0007601881834371155,0.0007058495291848651,12.989823522462974,13.0,three_consecutive_relative_objective_improvements_below_1e-3,False
12,0.2,24,0.0008653644910605618,0.0034437774424977744,0.0025784129514372124,2.9795686997477744,15.0,three_consecutive_relative_objective_improvements_below_1e-3,False
12,0.3,36,0.00039793510631045835,0.0019952858920501285,0.0015973507857396701,4.01409868194303,14.0,three_consecutive_relative_objective_improvements_below_1e-3,False
12,0.4,48,0.00020075616556681545,0.0011170956917963748,0.0009163395262295593,4.5644402683342955,14.0,three_consecutive_relative_objective_improvements_below_1e-3,False
12,0.5,60,0.00010149740899143517,0.0006929828961501119,0.0005914854871586767,5.827591985215987,15.0,three_consecutive_relative_objective_improvements_below_1e-3,False
13,0.2,24,0.0004607240346818741,0.0030909100033067504,0.002630185968624876,5.708809983054165,11.0,three_consecutive_relative_objective_improvements_below_1e-3,False
13,0.3,36,0.00021202778256116766,0.0018001614666748149,0.0015881336841136473,7.490215031869648,9.0,three_consecutive_relative_objective_improvements_below_1e-3,False
13,0.4,48,0.00010845419656364331,0.0009813396544834923,0.000872885457919849,8.048424916481867,10.0,three_consecutive_relative_objective_improvements_below_1e-3,False
13,0.5,60,5.743715249074515e-05,0.0005698264235744319,0.0005123892710836868,8.920868268430405,8.0,three_consecutive_relative_objective_improvements_below_1e-3,False
14,0.2,24,0.0005066382698420655,0.004451782657454506,0.003945144387612441,7.786905613826334,13.0,three_consecutive_relative_objective_improvements_below_1e-3,False
14,0.3,36,0.0002188101242089656,0.002557700788771995,0.0023388906645630298,10.689133663346256,14.0,three_consecutive_relative_objective_improvements_below_1e-3,False
14,0.4,48,0.00010867841905685715,0.0016201446818476576,0.0015114662627908003,13.907694608623709,13.0,three_consecutive_relative_objective_improvements_below_1e-3,False
14,0.5,60,5.462940536814881e-05,0.0010042822147721096,0.0009496528094039608,17.383546516829696,11.0,three_consecutive_relative_objective_improvements_below_1e-3,False
15,0.2,24,0.00046474197818533873,0.0037925611933632614,0.003327819215177923,7.160573762180767,12.0,three_consecutive_relative_objective_improvements_below_1e-3,False
15,0.3,36,0.00020268347457520763,0.002013244712399155,0.0018105612378239472,8.932949475129119,11.0,three_consecutive_relative_objective_improvements_below_1e-3,False
15,0.4,48,0.0001021984145367906,0.0011481786633007547,0.001045980248763964,10.234799174770169,11.0,three_consecutive_relative_objective_improvements_below_1e-3,False
15,0.5,60,5.235164378551917e-05,0.0006545464889502791,0.0006021948451647599,11.502883226205997,10.0,three_consecutive_relative_objective_improvements_below_1e-3,False
16,0.2,24,0.0005244666952649563,0.00577302332481739,0.005248556629552434,10.007416442145876,13.0,three_consecutive_relative_objective_improvements_below_1e-3,False
16,0.3,36,0.00023009032932797072,0.002318284304077568,0.0020881939747495974,9.075539944893059,13.0,three_consecutive_relative_objective_improvements_below_1e-3,False
16,0.4,48,0.00011376112042499812,0.0015925880215310767,0.0014788269011060786,12.999405206113968,12.0,three_consecutive_relative_objective_improvements_below_1e-3,False
16,0.5,60,5.984255447717136e-05,0.0012050027491619624,0.0011451601946847912,19.136218443376194,11.0,three_consecutive_relative_objective_improvements_below_1e-3,False
17,0.2,24,0.0004348770368393682,0.0028432356958705183,0.00240835865903115,5.538022141924989,16.0,three_consecutive_relative_objective_improvements_below_1e-3,False
17,0.3,36,0.00019435661664657516,0.0021155481618707755,0.0019211915452242005,9.884878520589613,16.0,three_consecutive_relative_objective_improvements_below_1e-3,False
17,0.4,48,9.960051780258631e-05,0.0011662500957402954,0.0010666495779377092,10.709277436206378,15.0,three_consecutive_relative_objective_improvements_below_1e-3,False
17,0.5,60,5.117861290177586e-05,0.0005472228674995957,0.0004960442545978198,9.692413031002788,15.0,three_consecutive_relative_objective_improvements_below_1e-3,False
18,0.2,24,0.0004384773126285288,0.0029053287576963206,0.0024668514450677916,5.62595001843954,10.0,three_consecutive_relative_objective_improvements_below_1e-3,False
18,0.3,36,0.00020280231306443573,0.0013998277849512028,0.001197025471886767,5.9024251439698325,10.0,three_consecutive_relative_objective_improvements_below_1e-3,False
18,0.4,48,0.0001036409007320276,0.0009528347364865723,0.0008491938357545447,8.193616899858945,11.0,three_consecutive_relative_objective_improvements_below_1e-3,False
18,0.5,60,5.27104463571043e-05,0.0006416867202363202,0.0005889762738792159,11.173805470911818,11.0,three_consecutive_relative_objective_improvements_below_1e-3,False
19,0.2,24,0.0009630820728115887,0.0038164398720325985,0.0028533577992210096,2.962735866208178,14.0,three_consecutive_relative_objective_improvements_below_1e-3,False
19,0.3,36,0.0004257795961110636,0.0023261039343126315,0.001900324338201568,4.463164406088339,13.0,three_consecutive_relative_objective_improvements_below_1e-3,False
19,0.4,48,0.0002120944340886841,0.0013128293336596181,0.001100734899570934,5.1898339732511705,12.0,three_consecutive_relative_objective_improvements_below_1e-3,False
19,0.5,60,0.00010679200750392542,0.0006580896847084205,0.0005512976772044951,5.16234959984464,12.0,three_consecutive_relative_objective_improvements_below_1e-3,False
