recording_id,condition_id,repetition,state_from_name,workpiece,length_mm,doc_mm,woc_mm,spindle_rpm,feed_mm_min,global_index,label,path,sha256,n_windows,archive_feature_dimension,missing_values
S_WPA_L36_DOC1.0_WOC2.0_N2700_F270_R4,S_WPA_L36_DOC1.0_WOC2.0_N2700_F270,4,S,A,36.0,1.0,2.0,2700,270,27,0,data/processed_feature_matrices/S_WPA_L36_DOC1.0_WOC2.0_N2700_F270_R4.mat,b83f588cfe8f123b0645b92d3b361f651500fb448f58935164e5ccbb22303f51,350,40,0
S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R1,S_WPA_L36_DOC1.5_WOC1.0_N1800_F180,1,S,A,36.0,1.5,1.0,1800,180,28,0,data/processed_feature_matrices/S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R1.mat,1569d22bba008656c8799b89a6dd19310461f5b6aeda7c36281f60cb412955e3,350,40,0
S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R2,S_WPA_L36_DOC1.5_WOC1.0_N1800_F180,2,S,A,36.0,1.5,1.0,1800,180,29,0,data/processed_feature_matrices/S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R2.mat,529bdf81238f26014e1a4399c81e846367cba1b8cc641b7c804f6c039208a94a,350,40,0
S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R3,S_WPA_L36_DOC1.5_WOC1.0_N1800_F180,3,S,A,36.0,1.5,1.0,1800,180,30,0,data/processed_feature_matrices/S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R3.mat,18efee49f716fa1cf46f198ac40fb7756f1d6ba53c54f023d168f5bf9dd5d1f8,350,40,0
S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R4,S_WPA_L36_DOC1.5_WOC1.0_N1800_F180,4,S,A,36.0,1.5,1.0,1800,180,31,0,data/processed_feature_matrices/S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R4.mat,a821459aab2a76a1dff7e22ff78ebb773a7b349a72c54e144af623e4bd186ac8,350,40,0
S_WPA_L36_DOC1.5_WOC1.0_N3600_F360_R1,S_WPA_L36_DOC1.5_WOC1.0_N3600_F360,1,S,A,36.0,1.5,1.0,3600,360,32,0,data/processed_feature_matrices/S_WPA_L36_DOC1.5_WOC1.0_N3600_F360_R1.mat,5d4bee2752073b44f7074599fd0fefb5c702bb793724bc5923219f7da4054d7b,350,40,0
S_WPA_L36_DOC1.5_WOC1.0_N3600_F360_R2,S_WPA_L36_DOC1.5_WOC1.0_N3600_F360,2,S,A,36.0,1.5,1.0,3600,360,33,0,data/processed_feature_matrices/S_WPA_L36_DOC1.5_WOC1.0_N3600_F360_R2.mat,75da27f2e2b95bb83cd5122d25aaf7603733d7e803080a8c465491625a77db58,350,40,0
S_WPA_L36_DOC1.5_WOC1.0_N3600_F360_R3,S_WPA_L36_DOC1.5_WOC1.0_N3600_F360,3,S,A,36.0,1.5,1.0,3600,360,34,0,data/processed_feature_matrices/S_WPA_L36_DOC1.5_WOC1.0_N3600_F360_R3.mat,04503c5db538595fbd4b970850fc2c9a36dabb7adce4172a5df4fae10fdb0f1e,350,40,0
S_WPA_L36_DOC1.5_WOC1.0_N3600_F360_R4,S_WPA_L36_DOC1.5_WOC1.0_N3600_F360,4,S,A,36.0,1.5,1.0,3600,360,35,0,data/processed_feature_matrices/S_WPA_L36_DOC1.5_WOC1.0_N3600_F360_R4.mat,07251d32d36dad26c1c5ba91d5e87ec438f22688f1704c019859a15a445bc183,350,40,0
S_WPA_L36_DOC1.5_WOC2.0_N2700_F270_R1,S_WPA_L36_DOC1.5_WOC2.0_N2700_F270,1,S,A,36.0,1.5,2.0,2700,270,36,0,data/processed_feature_matrices/S_WPA_L36_DOC1.5_WOC2.0_N2700_F270_R1.mat,82d4d367c954f07757aee61531466c0f0f184c04bf3e6a049cdb713bdcd0d8ce,350,40,0
S_WPA_L36_DOC1.5_WOC2.0_N2700_F270_R2,S_WPA_L36_DOC1.5_WOC2.0_N2700_F270,2,S,A,36.0,1.5,2.0,2700,270,37,0,data/processed_feature_matrices/S_WPA_L36_DOC1.5_WOC2.0_N2700_F270_R2.mat,8e882353a02234fbc90517aa6223cbfd1842de09eabaa3903d22c9e89ef38bd9,350,40,0
S_WPA_L36_DOC1.5_WOC2.0_N2700_F270_R3,S_WPA_L36_DOC1.5_WOC2.0_N2700_F270,3,S,A,36.0,1.5,2.0,2700,270,38,0,data/processed_feature_matrices/S_WPA_L36_DOC1.5_WOC2.0_N2700_F270_R3.mat,f8592d7d3336989f0faaec325c87f69b1fcc3864fa6a61ab4e0e3233ca414917,350,40,0
S_WPA_L36_DOC1.5_WOC2.0_N2700_F270_R4,S_WPA_L36_DOC1.5_WOC2.0_N2700_F270,4,S,A,36.0,1.5,2.0,2700,270,39,0,data/processed_feature_matrices/S_WPA_L36_DOC1.5_WOC2.0_N2700_F270_R4.mat,e332a55c8bd8a4f5d58a1e7624a4e9009598ff4572a5fde99b00c3052291e2c4,350,40,0
S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R1,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180,1,S,A,36.0,2.0,1.0,1800,180,40,0,data/processed_feature_matrices/S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R1.mat,4b25566bdc4b1dca7fcb66886743a28eb96b7c0ee692b9d594cf53f657becfb5,350,40,0
S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R2,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180,2,S,A,36.0,2.0,1.0,1800,180,41,0,data/processed_feature_matrices/S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R2.mat,40f7e2315d2a0ad9a25be0dcc421bcc453dddb53349ad87340afed7f02f4b599,350,40,0
S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R3,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180,3,S,A,36.0,2.0,1.0,1800,180,42,0,data/processed_feature_matrices/S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R3.mat,3d63414c705c3a1ed2984efa9b848df8abf0562ed8b99157e25f0d6c9891d721,350,40,0
S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R4,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180,4,S,A,36.0,2.0,1.0,1800,180,43,0,data/processed_feature_matrices/S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R4.mat,f9b7cdf0b6105cf7649eb1e565cd97873394f548e397f9d557887a33589611d6,350,40,0
S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R1,S_WPA_L36_DOC2.0_WOC1.0_N2700_F270,1,S,A,36.0,2.0,1.0,2700,270,44,0,data/processed_feature_matrices/S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R1.mat,87c17ba63cdd8f23f35225bfedf02c14c3e1c58ad8920dc8437929366fa9f06e,350,40,0
S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R2,S_WPA_L36_DOC2.0_WOC1.0_N2700_F270,2,S,A,36.0,2.0,1.0,2700,270,45,0,data/processed_feature_matrices/S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R2.mat,edcb0e75471f91fb58d09b12011e2bdb2363e8ebf0c22973d08e491ad7ed3f09,350,40,0
S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R3,S_WPA_L36_DOC2.0_WOC1.0_N2700_F270,3,S,A,36.0,2.0,1.0,2700,270,46,0,data/processed_feature_matrices/S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R3.mat,f7c364f4eeab3b60c01ce20247de60bbfd3690c5f48b04ec637abb936a74693d,350,40,0
S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R4,S_WPA_L36_DOC2.0_WOC1.0_N2700_F270,4,S,A,36.0,2.0,1.0,2700,270,47,0,data/processed_feature_matrices/S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R4.mat,1b347a024009a8e6231c1af91babd1ff5963e9268f3bd1ef647ea5b238070a83,350,40,0
S_WPA_L36_DOC3.0_WOC1.0_N1800_F180_R1,S_WPA_L36_DOC3.0_WOC1.0_N1800_F180,1,S,A,36.0,3.0,1.0,1800,180,48,0,data/processed_feature_matrices/S_WPA_L36_DOC3.0_WOC1.0_N1800_F180_R1.mat,76cfa854fdbc1a9a19f3b772c35aa7a8df396ed90fd7caf0efa4e179aadbaaaf,350,40,0
S_WPA_L36_DOC3.0_WOC1.0_N1800_F180_R2,S_WPA_L36_DOC3.0_WOC1.0_N1800_F180,2,S,A,36.0,3.0,1.0,1800,180,49,0,data/processed_feature_matrices/S_WPA_L36_DOC3.0_WOC1.0_N1800_F180_R2.mat,790a574ef92e92a8126476b6721ae70a47ecae3646d62123d6a42287d945c611,350,40,0
S_WPA_L36_DOC3.0_WOC1.0_N1800_F180_R3,S_WPA_L36_DOC3.0_WOC1.0_N1800_F180,3,S,A,36.0,3.0,1.0,1800,180,50,0,data/processed_feature_matrices/S_WPA_L36_DOC3.0_WOC1.0_N1800_F180_R3.mat,cd84c98937bce3a6cbb891694067e07325cef443a0d2201bac0b209431f5eb04,350,40,0
S_WPA_L36_DOC3.0_WOC1.0_N1800_F180_R4,S_WPA_L36_DOC3.0_WOC1.0_N1800_F180,4,S,A,36.0,3.0,1.0,1800,180,51,0,data/processed_feature_matrices/S_WPA_L36_DOC3.0_WOC1.0_N1800_F180_R4.mat,6f2e73f274f334c772ee93527e57573cbb6346e861d1fa6cd27b4ccddcff6f93,350,40,0
S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R1,S_WPA_L36_DOC4.0_WOC1.0_N2700_F270,1,S,A,36.0,4.0,1.0,2700,270,52,0,data/processed_feature_matrices/S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R1.mat,a8800d82eaacd1f2749874390ad7d2b41b367c5ad5bde9e934641561f173b6df,350,40,0
S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R2,S_WPA_L36_DOC4.0_WOC1.0_N2700_F270,2,S,A,36.0,4.0,1.0,2700,270,53,0,data/processed_feature_matrices/S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R2.mat,e95fa85fb98758d47b5d20913b9d353648d3c5114f680386a4100c0eb6e42e37,350,40,0
S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R3,S_WPA_L36_DOC4.0_WOC1.0_N2700_F270,3,S,A,36.0,4.0,1.0,2700,270,54,0,data/processed_feature_matrices/S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R3.mat,7bec695ae581b27f89509d200a957a9930c3b16c50c8c4f1391d69f2bf2bb311,350,40,0
S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R4,S_WPA_L36_DOC4.0_WOC1.0_N2700_F270,4,S,A,36.0,4.0,1.0,2700,270,55,0,data/processed_feature_matrices/S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R4.mat,f4fecf75b8d156b183493df845671410c27200c061348c0b973034f0778df06e,350,40,0
S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R1,S_WPA_L36_DOC6.0_WOC1.0_N2700_F270,1,S,A,36.0,6.0,1.0,2700,270,56,0,data/processed_feature_matrices/S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R1.mat,11d65f653bc2cc6411b728c851f4d47a6ec179924948fb75dce24c694fc95840,350,40,0
S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R2,S_WPA_L36_DOC6.0_WOC1.0_N2700_F270,2,S,A,36.0,6.0,1.0,2700,270,57,0,data/processed_feature_matrices/S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R2.mat,34cf9d6bbcf6f3d83f4a2e307875478e9e707fd6ae296b001002dfc3910e58e6,350,40,0
S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R3,S_WPA_L36_DOC6.0_WOC1.0_N2700_F270,3,S,A,36.0,6.0,1.0,2700,270,58,0,data/processed_feature_matrices/S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R3.mat,8c3297d80c2f850d886a5cb4c539ebf1d03ebff56190516390166f8d70a34346,350,40,0
S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R4,S_WPA_L36_DOC6.0_WOC1.0_N2700_F270,4,S,A,36.0,6.0,1.0,2700,270,59,0,data/processed_feature_matrices/S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R4.mat,772fbf0c8024eaaefa814cd252e983763418399b8417d60e19ec1d1718be4ed8,350,40,0
S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R1,S_WPB_L56_DOC0.5_WOC1.0_N1800_F180,1,S,B,56.0,0.5,1.0,1800,180,60,0,data/processed_feature_matrices/S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R1.mat,01a878eaea2e07853121615eed6bb78c693ab46592f11562967951b1c5c62f69,350,40,0
S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R2,S_WPB_L56_DOC0.5_WOC1.0_N1800_F180,2,S,B,56.0,0.5,1.0,1800,180,61,0,data/processed_feature_matrices/S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R2.mat,7505677b279d9f02e6ce972f00fa8c9fd54e09bde5ae170c2f78df1df8513fcd,350,40,0
S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R3,S_WPB_L56_DOC0.5_WOC1.0_N1800_F180,3,S,B,56.0,0.5,1.0,1800,180,62,0,data/processed_feature_matrices/S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R3.mat,0d11ee6398a7f14fbfa49ec9ef55f6a88e46ff0bc67a630aa1298f68f1795162,350,40,0
S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R4,S_WPB_L56_DOC0.5_WOC1.0_N1800_F180,4,S,B,56.0,0.5,1.0,1800,180,63,0,data/processed_feature_matrices/S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R4.mat,f54d74d7891d013559f6698423233ba3963c80ab4df0c97708c72e2eb955aa7a,350,40,0
S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R1,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270,1,S,B,56.0,0.5,1.0,2700,270,64,0,data/processed_feature_matrices/S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R1.mat,9fa9cc9f42727628196a6ef30768c6d64828bca1db3b7905d5a666abbe045465,350,40,0
S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R2,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270,2,S,B,56.0,0.5,1.0,2700,270,65,0,data/processed_feature_matrices/S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R2.mat,eab7187da0525559c9c5e823e321502d6a4ce8890bdf317b9c3c7d1207946a5d,350,40,0
S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R3,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270,3,S,B,56.0,0.5,1.0,2700,270,66,0,data/processed_feature_matrices/S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R3.mat,32712a13429ec7ec5a87c626a46911d67b2fca2742aff017621f5b20ba3c23b6,350,40,0
S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R4,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270,4,S,B,56.0,0.5,1.0,2700,270,67,0,data/processed_feature_matrices/S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R4.mat,ca92214026a2237d968864b31e74dbab8a63fa212d5263a2f83fb7a296657f2d,350,40,0
S_WPB_L56_DOC0.5_WOC1.0_N3600_F360_R1,S_WPB_L56_DOC0.5_WOC1.0_N3600_F360,1,S,B,56.0,0.5,1.0,3600,360,68,0,data/processed_feature_matrices/S_WPB_L56_DOC0.5_WOC1.0_N3600_F360_R1.mat,bb8e20783eff6e94b02d99aa86e78194937e664cc1a45b594f0fb9a2adf6bb86,350,40,0
S_WPB_L56_DOC0.5_WOC1.0_N3600_F360_R2,S_WPB_L56_DOC0.5_WOC1.0_N3600_F360,2,S,B,56.0,0.5,1.0,3600,360,69,0,data/processed_feature_matrices/S_WPB_L56_DOC0.5_WOC1.0_N3600_F360_R2.mat,11befd40c961d6e1904dc45af63a849c98fa2b9f5666114882cc6d87c6a67760,350,40,0
S_WPB_L56_DOC0.5_WOC1.0_N3600_F360_R3,S_WPB_L56_DOC0.5_WOC1.0_N3600_F360,3,S,B,56.0,0.5,1.0,3600,360,70,0,data/processed_feature_matrices/S_WPB_L56_DOC0.5_WOC1.0_N3600_F360_R3.mat,52a5540407c3653d5a2d65eca731f95011e68a510dbc4cd416d215458e64ced6,350,40,0
S_WPB_L56_DOC0.5_WOC1.0_N3600_F360_R4,S_WPB_L56_DOC0.5_WOC1.0_N3600_F360,4,S,B,56.0,0.5,1.0,3600,360,71,0,data/processed_feature_matrices/S_WPB_L56_DOC0.5_WOC1.0_N3600_F360_R4.mat,db549e84258863f1b6abcbf78155f6090f717e122c861d9220914954ed2d9693,350,40,0
S_WPB_L56_DOC0.5_WOC2.0_N2700_F270_R1,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270,1,S,B,56.0,0.5,2.0,2700,270,72,0,data/processed_feature_matrices/S_WPB_L56_DOC0.5_WOC2.0_N2700_F270_R1.mat,c9139c3f405942123a12f066beb7fac7d6bfa0a1526c5e4fe5502dea300405d3,350,40,0
S_WPB_L56_DOC0.5_WOC2.0_N2700_F270_R2,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270,2,S,B,56.0,0.5,2.0,2700,270,73,0,data/processed_feature_matrices/S_WPB_L56_DOC0.5_WOC2.0_N2700_F270_R2.mat,89f74ee3e269a009291e45f473c0ba9152a7ad712a8aba1178cf001b2ba76409,350,40,0
