split,repeat,fold,seed,partition,global_index,recording_id,condition_id,repetition,label
0,0,0,11,train,34,S_WPA_L36_DOC1.5_WOC1.0_N3600_F360_R3,S_WPA_L36_DOC1.5_WOC1.0_N3600_F360,3,0
0,0,0,11,train,35,S_WPA_L36_DOC1.5_WOC1.0_N3600_F360_R4,S_WPA_L36_DOC1.5_WOC1.0_N3600_F360,4,0
0,0,0,11,train,36,S_WPA_L36_DOC1.5_WOC2.0_N2700_F270_R1,S_WPA_L36_DOC1.5_WOC2.0_N2700_F270,1,0
0,0,0,11,train,37,S_WPA_L36_DOC1.5_WOC2.0_N2700_F270_R2,S_WPA_L36_DOC1.5_WOC2.0_N2700_F270,2,0
0,0,0,11,train,38,S_WPA_L36_DOC1.5_WOC2.0_N2700_F270_R3,S_WPA_L36_DOC1.5_WOC2.0_N2700_F270,3,0
0,0,0,11,train,39,S_WPA_L36_DOC1.5_WOC2.0_N2700_F270_R4,S_WPA_L36_DOC1.5_WOC2.0_N2700_F270,4,0
0,0,0,11,train,40,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R1,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180,1,0
0,0,0,11,train,41,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R2,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180,2,0
0,0,0,11,train,42,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R3,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180,3,0
0,0,0,11,train,43,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R4,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180,4,0
0,0,0,11,train,44,S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R1,S_WPA_L36_DOC2.0_WOC1.0_N2700_F270,1,0
0,0,0,11,train,45,S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R2,S_WPA_L36_DOC2.0_WOC1.0_N2700_F270,2,0
0,0,0,11,train,46,S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R3,S_WPA_L36_DOC2.0_WOC1.0_N2700_F270,3,0
0,0,0,11,train,47,S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R4,S_WPA_L36_DOC2.0_WOC1.0_N2700_F270,4,0
0,0,0,11,train,48,S_WPA_L36_DOC3.0_WOC1.0_N1800_F180_R1,S_WPA_L36_DOC3.0_WOC1.0_N1800_F180,1,0
0,0,0,11,train,49,S_WPA_L36_DOC3.0_WOC1.0_N1800_F180_R2,S_WPA_L36_DOC3.0_WOC1.0_N1800_F180,2,0
0,0,0,11,train,50,S_WPA_L36_DOC3.0_WOC1.0_N1800_F180_R3,S_WPA_L36_DOC3.0_WOC1.0_N1800_F180,3,0
0,0,0,11,train,51,S_WPA_L36_DOC3.0_WOC1.0_N1800_F180_R4,S_WPA_L36_DOC3.0_WOC1.0_N1800_F180,4,0
0,0,0,11,train,52,S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R1,S_WPA_L36_DOC4.0_WOC1.0_N2700_F270,1,0
0,0,0,11,train,53,S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R2,S_WPA_L36_DOC4.0_WOC1.0_N2700_F270,2,0
0,0,0,11,train,54,S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R3,S_WPA_L36_DOC4.0_WOC1.0_N2700_F270,3,0
0,0,0,11,train,55,S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R4,S_WPA_L36_DOC4.0_WOC1.0_N2700_F270,4,0
0,0,0,11,train,56,S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R1,S_WPA_L36_DOC6.0_WOC1.0_N2700_F270,1,0
0,0,0,11,train,57,S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R2,S_WPA_L36_DOC6.0_WOC1.0_N2700_F270,2,0
0,0,0,11,train,58,S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R3,S_WPA_L36_DOC6.0_WOC1.0_N2700_F270,3,0
0,0,0,11,train,59,S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R4,S_WPA_L36_DOC6.0_WOC1.0_N2700_F270,4,0
0,0,0,11,train,60,S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R1,S_WPB_L56_DOC0.5_WOC1.0_N1800_F180,1,0
0,0,0,11,train,61,S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R2,S_WPB_L56_DOC0.5_WOC1.0_N1800_F180,2,0
0,0,0,11,train,62,S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R3,S_WPB_L56_DOC0.5_WOC1.0_N1800_F180,3,0
0,0,0,11,train,63,S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R4,S_WPB_L56_DOC0.5_WOC1.0_N1800_F180,4,0
0,0,0,11,train,64,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R1,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270,1,0
0,0,0,11,train,65,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R2,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270,2,0
0,0,0,11,train,66,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R3,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270,3,0
0,0,0,11,train,67,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R4,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270,4,0
0,0,0,11,train,72,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270_R1,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270,1,0
0,0,0,11,train,73,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270_R2,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270,2,0
0,0,0,11,train,74,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270_R3,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270,3,0
0,0,0,11,train,75,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270_R4,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270,4,0
0,0,0,11,train,76,S_WPB_L56_DOC1.0_WOC1.0_N1800_F180_R1,S_WPB_L56_DOC1.0_WOC1.0_N1800_F180,1,0
0,0,0,11,train,77,S_WPB_L56_DOC1.0_WOC1.0_N1800_F180_R2,S_WPB_L56_DOC1.0_WOC1.0_N1800_F180,2,0
0,0,0,11,train,78,S_WPB_L56_DOC1.0_WOC1.0_N1800_F180_R3,S_WPB_L56_DOC1.0_WOC1.0_N1800_F180,3,0
0,0,0,11,train,79,S_WPB_L56_DOC1.0_WOC1.0_N1800_F180_R4,S_WPB_L56_DOC1.0_WOC1.0_N1800_F180,4,0
0,0,0,11,train,80,S_WPB_L56_DOC1.0_WOC1.0_N2700_F270_R1,S_WPB_L56_DOC1.0_WOC1.0_N2700_F270,1,0
0,0,0,11,train,81,S_WPB_L56_DOC1.0_WOC1.0_N2700_F270_R2,S_WPB_L56_DOC1.0_WOC1.0_N2700_F270,2,0
0,0,0,11,train,82,S_WPB_L56_DOC1.0_WOC1.0_N2700_F270_R3,S_WPB_L56_DOC1.0_WOC1.0_N2700_F270,3,0
0,0,0,11,train,83,S_WPB_L56_DOC1.0_WOC1.0_N2700_F270_R4,S_WPB_L56_DOC1.0_WOC1.0_N2700_F270,4,0
0,0,0,11,train,96,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R1,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270,1,0
0,0,0,11,train,97,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R2,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270,2,0
0,0,0,11,train,98,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R3,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270,3,0
0,0,0,11,train,99,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R4,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270,4,0
0,0,0,11,train,100,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R1,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360,1,0
0,0,0,11,train,101,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R2,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360,2,0
0,0,0,11,train,102,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R3,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360,3,0
0,0,0,11,train,103,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R4,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360,4,0
0,0,0,11,train,104,S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R1,S_WPB_L56_DOC1.5_WOC2.0_N2700_F270,1,0
0,0,0,11,train,105,S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R2,S_WPB_L56_DOC1.5_WOC2.0_N2700_F270,2,0
0,0,0,11,train,106,S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R3,S_WPB_L56_DOC1.5_WOC2.0_N2700_F270,3,0
0,0,0,11,train,107,S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R4,S_WPB_L56_DOC1.5_WOC2.0_N2700_F270,4,0
0,0,0,11,train,108,U_WPA_L36_DOC2.0_WOC1.0_N3600_F360_R1,U_WPA_L36_DOC2.0_WOC1.0_N3600_F360,1,1
0,0,0,11,train,109,U_WPA_L36_DOC2.0_WOC1.0_N3600_F360_R2,U_WPA_L36_DOC2.0_WOC1.0_N3600_F360,2,1
0,0,0,11,train,110,U_WPA_L36_DOC2.0_WOC1.0_N3600_F360_R3,U_WPA_L36_DOC2.0_WOC1.0_N3600_F360,3,1
0,0,0,11,train,111,U_WPA_L36_DOC2.0_WOC1.0_N3600_F360_R4,U_WPA_L36_DOC2.0_WOC1.0_N3600_F360,4,1
0,0,0,11,train,116,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R1,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,1,1
0,0,0,11,train,117,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R2,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,2,1
0,0,0,11,train,118,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R3,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,3,1
0,0,0,11,train,119,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R4,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,4,1
0,0,0,11,train,124,U_WPB_L56_DOC2.0_WOC1.0_N1800_F180_R1,U_WPB_L56_DOC2.0_WOC1.0_N1800_F180,1,1
0,0,0,11,train,125,U_WPB_L56_DOC2.0_WOC1.0_N1800_F180_R2,U_WPB_L56_DOC2.0_WOC1.0_N1800_F180,2,1
0,0,0,11,train,126,U_WPB_L56_DOC2.0_WOC1.0_N1800_F180_R3,U_WPB_L56_DOC2.0_WOC1.0_N1800_F180,3,1
0,0,0,11,train,127,U_WPB_L56_DOC2.0_WOC1.0_N1800_F180_R4,U_WPB_L56_DOC2.0_WOC1.0_N1800_F180,4,1
0,0,0,11,train,128,U_WPB_L56_DOC2.0_WOC1.0_N2700_F270_R1,U_WPB_L56_DOC2.0_WOC1.0_N2700_F270,1,1
0,0,0,11,train,129,U_WPB_L56_DOC2.0_WOC1.0_N2700_F270_R2,U_WPB_L56_DOC2.0_WOC1.0_N2700_F270,2,1
0,0,0,11,train,130,U_WPB_L56_DOC2.0_WOC1.0_N2700_F270_R3,U_WPB_L56_DOC2.0_WOC1.0_N2700_F270,3,1
0,0,0,11,train,131,U_WPB_L56_DOC2.0_WOC1.0_N2700_F270_R4,U_WPB_L56_DOC2.0_WOC1.0_N2700_F270,4,1
0,0,0,11,train,132,U_WPB_L56_DOC2.0_WOC1.0_N3600_F360_R1,U_WPB_L56_DOC2.0_WOC1.0_N3600_F360,1,1
0,0,0,11,train,133,U_WPB_L56_DOC2.0_WOC1.0_N3600_F360_R2,U_WPB_L56_DOC2.0_WOC1.0_N3600_F360,2,1
0,0,0,11,train,134,U_WPB_L56_DOC2.0_WOC1.0_N3600_F360_R3,U_WPB_L56_DOC2.0_WOC1.0_N3600_F360,3,1
0,0,0,11,train,135,U_WPB_L56_DOC2.0_WOC1.0_N3600_F360_R4,U_WPB_L56_DOC2.0_WOC1.0_N3600_F360,4,1
0,0,0,11,train,136,U_WPB_L56_DOC2.0_WOC2.0_N2700_F270_R1,U_WPB_L56_DOC2.0_WOC2.0_N2700_F270,1,1
0,0,0,11,train,137,U_WPB_L56_DOC2.0_WOC2.0_N2700_F270_R2,U_WPB_L56_DOC2.0_WOC2.0_N2700_F270,2,1
0,0,0,11,train,138,U_WPB_L56_DOC2.0_WOC2.0_N2700_F270_R3,U_WPB_L56_DOC2.0_WOC2.0_N2700_F270,3,1
0,0,0,11,train,139,U_WPB_L56_DOC2.0_WOC2.0_N2700_F270_R4,U_WPB_L56_DOC2.0_WOC2.0_N2700_F270,4,1
0,0,0,11,train,140,U_WPB_L56_DOC3.0_WOC1.0_N1800_F180_R1,U_WPB_L56_DOC3.0_WOC1.0_N1800_F180,1,1
0,0,0,11,train,141,U_WPB_L56_DOC3.0_WOC1.0_N1800_F180_R2,U_WPB_L56_DOC3.0_WOC1.0_N1800_F180,2,1
0,0,0,11,train,142,U_WPB_L56_DOC3.0_WOC1.0_N1800_F180_R3,U_WPB_L56_DOC3.0_WOC1.0_N1800_F180,3,1
0,0,0,11,train,143,U_WPB_L56_DOC3.0_WOC1.0_N1800_F180_R4,U_WPB_L56_DOC3.0_WOC1.0_N1800_F180,4,1
0,0,0,11,train,148,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270_R1,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270,1,1
0,0,0,11,train,149,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270_R2,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270,2,1
0,0,0,11,train,150,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270_R3,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270,3,1
0,0,0,11,train,151,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270_R4,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270,4,1
0,0,0,11,train,152,U_WPB_L56_DOC4.0_WOC2.0_N2700_F270_R1,U_WPB_L56_DOC4.0_WOC2.0_N2700_F270,1,1
0,0,0,11,train,153,U_WPB_L56_DOC4.0_WOC2.0_N2700_F270_R2,U_WPB_L56_DOC4.0_WOC2.0_N2700_F270,2,1
0,0,0,11,train,154,U_WPB_L56_DOC4.0_WOC2.0_N2700_F270_R3,U_WPB_L56_DOC4.0_WOC2.0_N2700_F270,3,1
0,0,0,11,train,155,U_WPB_L56_DOC4.0_WOC2.0_N2700_F270_R4,U_WPB_L56_DOC4.0_WOC2.0_N2700_F270,4,1
0,0,0,11,train,156,U_WPB_L56_DOC6.0_WOC1.0_N2700_F270_R1,U_WPB_L56_DOC6.0_WOC1.0_N2700_F270,1,1
0,0,0,11,train,157,U_WPB_L56_DOC6.0_WOC1.0_N2700_F270_R2,U_WPB_L56_DOC6.0_WOC1.0_N2700_F270,2,1
0,0,0,11,train,158,U_WPB_L56_DOC6.0_WOC1.0_N2700_F270_R3,U_WPB_L56_DOC6.0_WOC1.0_N2700_F270,3,1
0,0,0,11,train,159,U_WPB_L56_DOC6.0_WOC1.0_N2700_F270_R4,U_WPB_L56_DOC6.0_WOC1.0_N2700_F270,4,1
0,0,0,11,test,0,S_WPA_L36_DOC0.5_WOC1.0_N2700_F270_R1,S_WPA_L36_DOC0.5_WOC1.0_N2700_F270,1,0
0,0,0,11,test,1,S_WPA_L36_DOC0.5_WOC1.0_N2700_F270_R2,S_WPA_L36_DOC0.5_WOC1.0_N2700_F270,2,0
0,0,0,11,test,2,S_WPA_L36_DOC0.5_WOC1.0_N2700_F270_R3,S_WPA_L36_DOC0.5_WOC1.0_N2700_F270,3,0
0,0,0,11,test,3,S_WPA_L36_DOC0.5_WOC1.0_N2700_F270_R4,S_WPA_L36_DOC0.5_WOC1.0_N2700_F270,4,0
0,0,0,11,test,12,S_WPA_L36_DOC1.0_WOC1.0_N1800_F180_R1,S_WPA_L36_DOC1.0_WOC1.0_N1800_F180,1,0
0,0,0,11,test,13,S_WPA_L36_DOC1.0_WOC1.0_N1800_F180_R2,S_WPA_L36_DOC1.0_WOC1.0_N1800_F180,2,0
0,0,0,11,test,14,S_WPA_L36_DOC1.0_WOC1.0_N1800_F180_R3,S_WPA_L36_DOC1.0_WOC1.0_N1800_F180,3,0
0,0,0,11,test,15,S_WPA_L36_DOC1.0_WOC1.0_N1800_F180_R4,S_WPA_L36_DOC1.0_WOC1.0_N1800_F180,4,0
0,0,0,11,test,28,S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R1,S_WPA_L36_DOC1.5_WOC1.0_N1800_F180,1,0
0,0,0,11,test,29,S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R2,S_WPA_L36_DOC1.5_WOC1.0_N1800_F180,2,0
0,0,0,11,test,30,S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R3,S_WPA_L36_DOC1.5_WOC1.0_N1800_F180,3,0
0,0,0,11,test,31,S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R4,S_WPA_L36_DOC1.5_WOC1.0_N1800_F180,4,0
0,0,0,11,test,68,S_WPB_L56_DOC0.5_WOC1.0_N3600_F360_R1,S_WPB_L56_DOC0.5_WOC1.0_N3600_F360,1,0
0,0,0,11,test,69,S_WPB_L56_DOC0.5_WOC1.0_N3600_F360_R2,S_WPB_L56_DOC0.5_WOC1.0_N3600_F360,2,0
0,0,0,11,test,70,S_WPB_L56_DOC0.5_WOC1.0_N3600_F360_R3,S_WPB_L56_DOC0.5_WOC1.0_N3600_F360,3,0
0,0,0,11,test,71,S_WPB_L56_DOC0.5_WOC1.0_N3600_F360_R4,S_WPB_L56_DOC0.5_WOC1.0_N3600_F360,4,0
0,0,0,11,test,84,S_WPB_L56_DOC1.0_WOC1.0_N3600_F360_R1,S_WPB_L56_DOC1.0_WOC1.0_N3600_F360,1,0
0,0,0,11,test,85,S_WPB_L56_DOC1.0_WOC1.0_N3600_F360_R2,S_WPB_L56_DOC1.0_WOC1.0_N3600_F360,2,0
0,0,0,11,test,86,S_WPB_L56_DOC1.0_WOC1.0_N3600_F360_R3,S_WPB_L56_DOC1.0_WOC1.0_N3600_F360,3,0
0,0,0,11,test,87,S_WPB_L56_DOC1.0_WOC1.0_N3600_F360_R4,S_WPB_L56_DOC1.0_WOC1.0_N3600_F360,4,0
0,0,0,11,test,88,S_WPB_L56_DOC1.0_WOC2.0_N2700_F270_R1,S_WPB_L56_DOC1.0_WOC2.0_N2700_F270,1,0
0,0,0,11,test,89,S_WPB_L56_DOC1.0_WOC2.0_N2700_F270_R2,S_WPB_L56_DOC1.0_WOC2.0_N2700_F270,2,0
0,0,0,11,test,90,S_WPB_L56_DOC1.0_WOC2.0_N2700_F270_R3,S_WPB_L56_DOC1.0_WOC2.0_N2700_F270,3,0
0,0,0,11,test,91,S_WPB_L56_DOC1.0_WOC2.0_N2700_F270_R4,S_WPB_L56_DOC1.0_WOC2.0_N2700_F270,4,0
0,0,0,11,test,92,S_WPB_L56_DOC1.5_WOC1.0_N1800_F180_R1,S_WPB_L56_DOC1.5_WOC1.0_N1800_F180,1,0
0,0,0,11,test,93,S_WPB_L56_DOC1.5_WOC1.0_N1800_F180_R2,S_WPB_L56_DOC1.5_WOC1.0_N1800_F180,2,0
0,0,0,11,test,94,S_WPB_L56_DOC1.5_WOC1.0_N1800_F180_R3,S_WPB_L56_DOC1.5_WOC1.0_N1800_F180,3,0
0,0,0,11,test,95,S_WPB_L56_DOC1.5_WOC1.0_N1800_F180_R4,S_WPB_L56_DOC1.5_WOC1.0_N1800_F180,4,0
0,0,0,11,test,112,U_WPA_L36_DOC2.0_WOC2.0_N2700_F270_R1,U_WPA_L36_DOC2.0_WOC2.0_N2700_F270,1,1
0,0,0,11,test,113,U_WPA_L36_DOC2.0_WOC2.0_N2700_F270_R2,U_WPA_L36_DOC2.0_WOC2.0_N2700_F270,2,1
0,0,0,11,test,114,U_WPA_L36_DOC2.0_WOC2.0_N2700_F270_R3,U_WPA_L36_DOC2.0_WOC2.0_N2700_F270,3,1
0,0,0,11,test,115,U_WPA_L36_DOC2.0_WOC2.0_N2700_F270_R4,U_WPA_L36_DOC2.0_WOC2.0_N2700_F270,4,1
0,0,0,11,test,120,U_WPA_L36_DOC4.0_WOC2.0_N2700_F270_R1,U_WPA_L36_DOC4.0_WOC2.0_N2700_F270,1,1
0,0,0,11,test,121,U_WPA_L36_DOC4.0_WOC2.0_N2700_F270_R2,U_WPA_L36_DOC4.0_WOC2.0_N2700_F270,2,1
0,0,0,11,test,122,U_WPA_L36_DOC4.0_WOC2.0_N2700_F270_R3,U_WPA_L36_DOC4.0_WOC2.0_N2700_F270,3,1
0,0,0,11,test,123,U_WPA_L36_DOC4.0_WOC2.0_N2700_F270_R4,U_WPA_L36_DOC4.0_WOC2.0_N2700_F270,4,1
0,0,0,11,test,144,U_WPB_L56_DOC3.0_WOC1.0_N3600_F360_R1,U_WPB_L56_DOC3.0_WOC1.0_N3600_F360,1,1
0,0,0,11,test,145,U_WPB_L56_DOC3.0_WOC1.0_N3600_F360_R2,U_WPB_L56_DOC3.0_WOC1.0_N3600_F360,2,1
0,0,0,11,test,146,U_WPB_L56_DOC3.0_WOC1.0_N3600_F360_R3,U_WPB_L56_DOC3.0_WOC1.0_N3600_F360,3,1
0,0,0,11,test,147,U_WPB_L56_DOC3.0_WOC1.0_N3600_F360_R4,U_WPB_L56_DOC3.0_WOC1.0_N3600_F360,4,1
1,0,1,11,train,0,S_WPA_L36_DOC0.5_WOC1.0_N2700_F270_R1,S_WPA_L36_DOC0.5_WOC1.0_N2700_F270,1,0
1,0,1,11,train,1,S_WPA_L36_DOC0.5_WOC1.0_N2700_F270_R2,S_WPA_L36_DOC0.5_WOC1.0_N2700_F270,2,0
1,0,1,11,train,2,S_WPA_L36_DOC0.5_WOC1.0_N2700_F270_R3,S_WPA_L36_DOC0.5_WOC1.0_N2700_F270,3,0
1,0,1,11,train,3,S_WPA_L36_DOC0.5_WOC1.0_N2700_F270_R4,S_WPA_L36_DOC0.5_WOC1.0_N2700_F270,4,0
1,0,1,11,train,4,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R1,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360,1,0
1,0,1,11,train,5,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R2,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360,2,0
1,0,1,11,train,6,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R3,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360,3,0
1,0,1,11,train,7,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R4,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360,4,0
1,0,1,11,train,12,S_WPA_L36_DOC1.0_WOC1.0_N1800_F180_R1,S_WPA_L36_DOC1.0_WOC1.0_N1800_F180,1,0
1,0,1,11,train,13,S_WPA_L36_DOC1.0_WOC1.0_N1800_F180_R2,S_WPA_L36_DOC1.0_WOC1.0_N1800_F180,2,0
1,0,1,11,train,14,S_WPA_L36_DOC1.0_WOC1.0_N1800_F180_R3,S_WPA_L36_DOC1.0_WOC1.0_N1800_F180,3,0
1,0,1,11,train,15,S_WPA_L36_DOC1.0_WOC1.0_N1800_F180_R4,S_WPA_L36_DOC1.0_WOC1.0_N1800_F180,4,0
1,0,1,11,train,16,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R1,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270,1,0
1,0,1,11,train,17,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R2,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270,2,0
1,0,1,11,train,18,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R3,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270,3,0
1,0,1,11,train,19,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R4,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270,4,0
