split,repeat,fold,seed,feature_set,n_train,n_test,n_train_conditions,n_test_conditions,budget,method,stage,n_selected,n_unique_selected_conditions,n_duplicate_condition_slots,max_selected_per_condition,rank,train_local_index,global_index,recording_id,condition_id,repetition,label,voronoi_weight,renyi_weight
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,10,2,3,2,87,119,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R4,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,4,1,0.06666666666666667,0.07936994455211681
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,10,2,3,3,101,137,U_WPB_L56_DOC2.0_WOC2.0_N2700_F270_R2,U_WPB_L56_DOC2.0_WOC2.0_N2700_F270,2,1,0.225,0.11898596421028262
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,10,2,3,4,8,16,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R1,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270,1,0,0.14166666666666666,0.11711451360351328
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,10,2,3,5,57,73,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270_R2,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270,2,0,0.1,0.0865069422070441
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,10,2,3,6,54,66,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R3,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270,3,0,0.03333333333333333,0.06087180104284515
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,10,2,3,7,29,41,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R2,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180,2,0,0.008333333333333333,0.06542274235225964
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,10,2,3,8,72,100,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R1,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360,1,0,0.008333333333333333,0.06542274235225964
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,10,2,3,9,84,116,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R1,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,1,1,0.008333333333333333,0.06542077928879449
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,10,2,3,10,85,117,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R2,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,2,1,0.008333333333333333,0.06542240319192441
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,10,2,3,11,68,96,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R1,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270,1,0,0.008333333333333333,0.06550741056722688
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,10,2,3,12,3,7,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R4,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360,4,0,0.25,0.09977648647068668
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,9,3,3,1,3,7,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R4,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360,4,0,0.25,0.10518639788762894
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,9,3,3,2,8,16,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R1,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270,1,0,0.14166666666666666,0.12901128104158566
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,9,3,3,3,24,36,S_WPA_L36_DOC1.5_WOC2.0_N2700_F270_R1,S_WPA_L36_DOC1.5_WOC2.0_N2700_F270,1,0,0.13333333333333333,0.12099562917180808
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,9,3,3,4,29,41,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R2,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180,2,0,0.008333333333333333,0.054017714298482435
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,9,3,3,5,54,66,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R3,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270,3,0,0.03333333333333333,0.05312112467358291
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,9,3,3,6,57,73,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270_R2,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270,2,0,0.1,0.0864210541728147
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,9,3,3,7,72,100,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R1,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360,1,0,0.008333333333333333,0.054017714298482435
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,9,3,3,8,75,103,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R4,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360,4,0,0.016666666666666666,0.07063152736040612
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,9,3,3,9,84,116,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R1,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,1,1,0.008333333333333333,0.0540258404847789
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,9,3,3,10,85,117,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R2,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,2,1,0.008333333333333333,0.05401757221240254
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,9,3,3,11,87,119,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R4,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,4,1,0.06666666666666667,0.08131701281534683
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,9,3,3,12,101,137,U_WPB_L56_DOC2.0_WOC2.0_N2700_F270_R2,U_WPB_L56_DOC2.0_WOC2.0_N2700_F270,2,1,0.225,0.13723713158268053
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,10,2,3,1,11,19,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R4,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270,4,0,0.09166666666666666,0.08991736450793562
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,10,2,3,2,21,33,S_WPA_L36_DOC1.5_WOC1.0_N3600_F360_R2,S_WPA_L36_DOC1.5_WOC1.0_N3600_F360,2,0,0.35833333333333334,0.10970804649708639
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,10,2,3,3,29,41,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R2,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180,2,0,0.008333333333333333,0.06526031747969223
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,10,2,3,4,45,57,S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R2,S_WPA_L36_DOC6.0_WOC1.0_N2700_F270,2,0,0.058333333333333334,0.09298847107765716
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,10,2,3,5,52,64,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R1,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270,1,0,0.03333333333333333,0.07685009144736972
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,10,2,3,6,58,74,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270_R3,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270,3,0,0.1,0.0971996989281851
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,10,2,3,7,68,96,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R1,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270,1,0,0.008333333333333333,0.06535861068802812
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,10,2,3,8,72,100,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R1,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360,1,0,0.008333333333333333,0.06526031747969223
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,10,2,3,9,84,116,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R1,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,1,1,0.008333333333333333,0.06525833067471322
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,10,2,3,10,85,117,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R2,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,2,1,0.008333333333333333,0.06526024955803138
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,10,2,3,11,87,119,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R4,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,4,1,0.075,0.08890685065937698
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,10,2,3,12,101,137,U_WPB_L56_DOC2.0_WOC2.0_N2700_F270_R2,U_WPB_L56_DOC2.0_WOC2.0_N2700_F270,2,1,0.24166666666666667,0.11803165100223181
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,9,3,3,1,11,19,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R4,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270,4,0,0.09166666666666666,0.08980149139926172
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,9,3,3,2,21,33,S_WPA_L36_DOC1.5_WOC1.0_N3600_F360_R2,S_WPA_L36_DOC1.5_WOC1.0_N3600_F360,2,0,0.35,0.12243560334200142
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,9,3,3,3,29,41,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R2,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180,2,0,0.008333333333333333,0.053597292578620996
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,9,3,3,4,45,57,S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R2,S_WPA_L36_DOC6.0_WOC1.0_N2700_F270,2,0,0.058333333333333334,0.09484050628426424
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,9,3,3,5,52,64,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R1,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270,1,0,0.03333333333333333,0.07376770845376358
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,9,3,3,6,58,74,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270_R3,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270,3,0,0.1,0.10291149432898392
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,9,3,3,7,72,100,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R1,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360,1,0,0.008333333333333333,0.053597292578620996
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,9,3,3,8,75,103,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R4,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360,4,0,0.016666666666666666,0.07222035986986265
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,9,3,3,9,84,116,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R1,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,1,1,0.008333333333333333,0.053605616771679715
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,9,3,3,10,85,117,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R2,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,2,1,0.008333333333333333,0.05359735785281888
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,9,3,3,11,87,119,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R4,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,4,1,0.075,0.09287788860256346
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,9,3,3,12,101,137,U_WPB_L56_DOC2.0_WOC2.0_N2700_F270_R2,U_WPB_L56_DOC2.0_WOC2.0_N2700_F270,2,1,0.24166666666666667,0.13674738793755836
0,0,0,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,11,1,2,1,4,8,S_WPA_L36_DOC0.5_WOC2.0_N2700_F270_R1,S_WPA_L36_DOC0.5_WOC2.0_N2700_F270,1,0,0.625,0.19653791588035982
0,0,0,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,11,1,2,2,72,100,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R1,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360,1,0,0.008333333333333333,0.06083947807782728
0,0,0,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,11,1,2,3,29,41,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R2,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180,2,0,0.008333333333333333,0.06083947807782728
0,0,0,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,11,1,2,4,84,116,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R1,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,1,1,0.008333333333333333,0.06083716239267623
0,0,0,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,11,1,2,5,85,117,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R2,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,2,1,0.008333333333333333,0.0608376719373602
0,0,0,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,11,1,2,6,68,96,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R1,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270,1,0,0.008333333333333333,0.06106839594083107
0,0,0,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,11,1,2,7,53,65,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R2,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270,2,0,0.03333333333333333,0.10561586834913937
0,0,0,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,11,1,2,8,112,152,U_WPB_L56_DOC4.0_WOC2.0_N2700_F270_R1,U_WPB_L56_DOC4.0_WOC2.0_N2700_F270,1,1,0.016666666666666666,0.06523348417096261
0,0,0,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,11,1,2,9,81,109,U_WPA_L36_DOC2.0_WOC1.0_N3600_F360_R2,U_WPA_L36_DOC2.0_WOC1.0_N3600_F360,2,1,0.05,0.05106422312512738
0,0,0,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,11,1,2,10,39,51,S_WPA_L36_DOC3.0_WOC1.0_N1800_F180_R4,S_WPA_L36_DOC3.0_WOC1.0_N1800_F180,4,0,0.025,0.06428518920551173
0,0,0,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,11,1,2,11,110,150,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270_R3,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270,3,1,0.041666666666666664,0.07632564181756252
0,0,0,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,11,1,2,12,8,16,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R1,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270,1,0,0.16666666666666666,0.1365154910248145
0,0,0,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,10,2,2,1,4,8,S_WPA_L36_DOC0.5_WOC2.0_N2700_F270_R1,S_WPA_L36_DOC0.5_WOC2.0_N2700_F270,1,0,0.5916666666666667,0.2904251919611109
0,0,0,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,10,2,2,2,29,41,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R2,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180,2,0,0.008333333333333333,0.04835768883062834
0,0,0,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,10,2,2,3,39,51,S_WPA_L36_DOC3.0_WOC1.0_N1800_F180_R4,S_WPA_L36_DOC3.0_WOC1.0_N1800_F180,4,0,0.025,0.05360426336944631
0,0,0,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,10,2,2,4,53,65,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R2,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270,2,0,0.03333333333333333,0.10310555594611395
0,0,0,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,10,2,2,5,68,96,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R1,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270,1,0,0.008333333333333333,0.048666767791473296
0,0,0,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,10,2,2,6,72,100,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R1,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360,1,0,0.008333333333333333,0.04835768883062834
0,0,0,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,10,2,2,7,81,109,U_WPA_L36_DOC2.0_WOC1.0_N3600_F360_R2,U_WPA_L36_DOC2.0_WOC1.0_N3600_F360,2,1,0.05,0.037434992422983496
0,0,0,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,10,2,2,8,84,116,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R1,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,1,1,0.008333333333333333,0.04835448690727148
0,0,0,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,10,2,2,9,85,117,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R2,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,2,1,0.008333333333333333,0.04835561203921723
0,0,0,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,10,2,2,10,110,150,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270_R3,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270,3,1,0.008333333333333333,0.06573879873149534
0,0,0,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,10,2,2,11,111,151,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270_R4,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270,4,1,0.23333333333333334,0.1573991453223238
0,0,0,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,10,2,2,12,112,152,U_WPB_L56_DOC4.0_WOC2.0_N2700_F270_R1,U_WPB_L56_DOC4.0_WOC2.0_N2700_F270,1,1,0.016666666666666666,0.05019980784730745
0,0,0,11,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=FacilityLocation,12,9,3,3,1,3,7,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R4,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360,4,0,0.25,0.10518639788762894
0,0,0,11,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=FacilityLocation,12,9,3,3,2,8,16,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R1,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270,1,0,0.14166666666666666,0.12901128104158566
0,0,0,11,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=FacilityLocation,12,9,3,3,3,24,36,S_WPA_L36_DOC1.5_WOC2.0_N2700_F270_R1,S_WPA_L36_DOC1.5_WOC2.0_N2700_F270,1,0,0.13333333333333333,0.12099562917180808
